Year,Country,Region,Yearly_Emission,GDP per capita
2020,Angola,Southern_Africa,4096.09354825,-8.493086121
2021,Angola,Southern_Africa,4189.593229,-2.46740355
2020,Albania,Central Europe,485.2865111916667,-2.925820957
2021,Albania,Central Europe,475.857560525,9.554875334
2020,Argentina,Rest South America,21615.588763333337,-10.76510773
2021,Argentina,Rest South America,23262.67797,9.223955571
2020,Armenia,Russia +,571.2968796583333,-7.572060526
2021,Armenia,Russia +,603.105951675,5.525716479
2020,Antigua and Barbuda,Rest Central America,58.23878697999999,-20.85493493
2021,Antigua and Barbuda,Rest Central America,64.83112369249999,4.41783167
2020,Australia,Oceania,36651.126034166664,-1.278526283
2021,Australia,Oceania,35671.79110083334,1.293854563
2020,Austria,OECD_Europe,7331.810096333332,-7.120927967
2021,Austria,OECD_Europe,7568.049247916667,4.024153735
2020,Azerbaijan,Russia +,3073.5865520000007,-4.952701739
2021,Azerbaijan,Russia +,3167.063592333334,5.057829624
2020,Burundi,Eastern_Africa,843.1484539249999,-2.712024741
2021,Burundi,Eastern_Africa,849.6314755666666,-1.233517072
2020,Belgium,OECD_Europe,8703.187260166667,-6.132229512
2021,Belgium,OECD_Europe,9158.114936083331,5.844594821
2020,Benin,Western_Africa,1535.6805381666666,1.090098527
2021,Benin,Western_Africa,1584.88736975,3.79324564
2020,Burkina Faso,Western_Africa,2441.6860899999997,-0.907160523
2021,Burkina Faso,Western_Africa,2462.3531279999997,3.953244476
2020,Bangladesh,India +,13455.205532916669,2.415855202
2021,Bangladesh,India +,13725.12261775,5.900748058
2020,Bulgaria,Central Europe,3897.499420666667,-3.811515942
2021,Bulgaria,Central Europe,4444.244345166667,4.704718077
2020,Bahrain,Middle_East,3039.0741770833333,-8.311347434
2021,Bahrain,Middle_East,3124.55177125,-0.505967332
2020,Bosnia and Herzegovina,Central Europe,2345.3734950000003,-2.523297319
2021,Bosnia and Herzegovina,Central Europe,1742.048614333333,7.671838897
2020,Belarus,Ukraine +,5381.161288583334,-0.479446185
2021,Belarus,Ukraine +,5480.5642957499995,2.941755802
2020,Belize,Rest Central America,195.69202428333332,-18.27224871
2021,Belize,Rest Central America,206.7276756916667,7.776107386
2020,Bermuda,Rest Central America,61.922205463333334,-6.827216855
2021,Bermuda,Rest Central America,68.86648478083332,1.894053811
2020,Brazil,Brazil,101592.62775583332,-4.561462507
2021,Brazil,Brazil,105974.186115,3.918336589
2020,Barbados,Rest Central America,146.68860383333333,-14.08611503
2021,Barbados,Rest Central America,161.40199649166667,1.281227495
2020,Brunei Darussalam,Southeastern Asia,600.5641541166668,0.165658547
2021,Brunei Darussalam,Southeastern Asia,601.1086646416667,-2.507856074
2020,Botswana,Southern_Africa,743.9928303000002,-10.58640629
2021,Botswana,Southern_Africa,769.9540987333334,9.245084842
2020,Central African Republic,Western_Africa,304.19559898333335,-0.867089762
2021,Central African Republic,Western_Africa,305.6452398416667,-0.950309903
2020,Canada,Canada,61212.17042916667,-6.31922237
2021,Canada,Canada,62703.94445666666,3.991761062
2020,Switzerland,OECD_Europe,3527.1532259166665,-3.085400925
2021,Switzerland,OECD_Europe,3602.7400885833335,2.96299404
2020,Chile,Rest South America,10400.181838000002,-6.785702733
2021,Chile,Rest South America,10589.573162833332,11.10935355
2020,China,China +,1046298.8140916667,1.996619014
2021,China,China +,1089851.3549166669,8.01334526
2020,Cameroon,Western_Africa,3110.3418998333327,-2.042454665
2021,Cameroon,Western_Africa,3142.2034561666665,0.90782954
2020,Colombia,Rest South America,9778.498296166666,-8.040898507
2021,Colombia,Rest South America,10141.401474916667,9.73738238
2020,Comoros,Eastern_Africa,70.82123043833333,-2.437632792
2021,Comoros,Eastern_Africa,72.29249067833334,0.175065779
2020,Costa Rica,Rest Central America,1155.6620922500001,-4.927747219
2021,Costa Rica,Rest Central America,1219.2830814166666,6.638824255
2020,Cyprus,Central Europe,565.2338734833332,-6.055135126
2021,Cyprus,Central Europe,593.29178565,4.572713883
2020,Germany,OECD_Europe,61683.00862666667,-4.647544976
2021,Germany,OECD_Europe,64440.23855083333,2.93169775
2020,Djibouti,Eastern_Africa,101.99050832,-0.277593604
2021,Djibouti,Eastern_Africa,104.90521080833334,2.832231715
2020,Dominica,Rest Central America,18.725142647499997,-16.81690055
2021,Dominica,Rest Central America,20.327996426666665,6.268565807
2020,Denmark,OECD_Europe,3535.2860240833324,-2.347336032
2021,Denmark,OECD_Europe,3643.5633541666666,4.240658413
2020,Dominican Republic,Rest Central America,2741.882368,-7.657060908
2021,Dominican Republic,Rest Central America,2968.156829,11.18747229
2020,Algeria,Northern_Africa,14090.389187499997,-6.826963623
2021,Algeria,Northern_Africa,14426.418661666665,2.065854505
2020,Ecuador,Rest South America,3552.5629752500004,-9.195656221
2021,Ecuador,Rest South America,4157.812460749999,2.805236029
2020,Spain,OECD_Europe,21225.049905833333,-11.2532668
2021,Spain,OECD_Europe,22869.42173916667,5.211050003
2020,Estonia,Central Europe,1575.9356546666668,-3.14261532
2021,Estonia,Central Europe,1661.128361666667,8.367793702
2020,Ethiopia,Eastern_Africa,16739.6965025,3.39811006
2021,Ethiopia,Eastern_Africa,16803.4729175,3.02707564
2020,Finland,OECD_Europe,8487.391483416666,-2.439493859
2021,Finland,OECD_Europe,8624.823328916667,3.247626366
2020,Fiji,Oceania,272.8384203416667,-15.76500599
2021,Fiji,Oceania,267.47919060833334,-4.76716543
2020,France,OECD_Europe,29123.877150000004,-8.034379209
2021,France,OECD_Europe,31164.670020833335,6.774306811
2020,Gabon,Western_Africa,1769.3157086666668,-4.181858235
2021,Gabon,Western_Africa,1770.4379535833332,-0.859906308
2020,United Kingdom,OECD_Europe,30833.689126666668,-9.601340319
2021,United Kingdom,OECD_Europe,32149.229300833336,7.049388486
2020,Georgia,Russia +,1019.2365072749999,-6.824432632
2021,Georgia,Russia +,1052.69047385,10.77870188
2020,Ghana,Western_Africa,3211.4905228333337,-1.605116474
2021,Ghana,Western_Africa,3383.844531416667,3.167869583
2020,Guinea,Western_Africa,2107.4058642500004,1.756611403
2021,Guinea,Western_Africa,2123.6484350833334,0.338753032
2020,Guinea-Bissau,Western_Africa,406.57763759166664,-4.734913754
2021,Guinea-Bissau,Western_Africa,409.72505714166664,1.354110998
2020,Equatorial Guinea,Western_Africa,569.424205425,-7.449593578
2021,Equatorial Guinea,Western_Africa,597.5053814666667,-4.149946896
