Year,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Region,Yearly_Emission,GDP per capita
2020,Albania,159.0,10080.0,3.0,240.0,Central Europe,485.2865111916667,-2.925820957
2021,Albania,416.0,139607.0,6.0,2382.0,Central Europe,475.857560525,9.554875334
2020,Algeria,273.0,28797.0,8.0,1027.0,Northern_Africa,14090.389187499997,-6.826963623
2021,Algeria,325.0,156314.0,10.0,4275.0,Northern_Africa,14426.418661666665,2.065854505
2020,Angola,48.0,3643.0,1.0,100.0,Southern_Africa,4096.09354825,-8.493086121
2021,Angola,163.0,40354.0,4.0,1006.0,Southern_Africa,4189.593229,-2.46740355
2020,Antigua and Barbuda,0.0,62.0,0.0,2.0,Rest Central America,58.23878697999999,-20.85493493
2021,Antigua and Barbuda,11.0,1874.0,0.0,51.0,Rest Central America,64.83112369249999,4.41783167
2021,Argentina,11250.0,4031936.0,192.0,92505.0,Rest South America,23262.67797,9.223955571
2020,Argentina,4600.0,429978.0,133.0,14195.0,Rest South America,21615.588763333337,-10.76510773
2021,Armenia,508.0,236278.0,14.0,4762.0,Russia +,603.105951675,5.525716479
2020,Armenia,438.0,39980.0,8.0,683.0,Russia +,571.2968796583333,-7.572060526
2020,Australia,78.0,13856.0,2.0,361.0,Oceania,36651.126034166664,-1.278526283
2021,Australia,916.0,75822.0,4.0,1165.0,Oceania,35671.79110083334,1.293854563
2020,Austria,978.0,59808.0,21.0,1203.0,OECD_Europe,7331.810096333332,-7.120927967
2021,Austria,2499.0,679997.0,25.0,12601.0,OECD_Europe,7568.049247916667,4.024153735
2020,Azerbaijan,595.0,34375.0,7.0,430.0,Russia +,3073.5865520000007,-4.952701739
2021,Azerbaijan,1095.0,375452.0,16.0,5163.0,Russia +,3167.063592333334,5.057829624
2020,Bahrain,254.0,35276.0,1.0,129.0,Middle_East,3039.0741770833333,-8.311347434
2021,Bahrain,518.0,217745.0,3.0,1014.0,Middle_East,3124.55177125,-0.505967332
2021,Bangladesh,2937.0,1061600.0,56.0,17787.0,India +,13725.12261775,5.900748058
2020,Bangladesh,1411.0,189037.0,21.0,2661.0,India +,13455.205532916669,2.415855202
2020,Barbados,1.0,123.0,0.0,5.0,Rest Central America,146.68860383333333,-14.08611503
2021,Barbados,77.0,7877.0,1.0,76.0,Rest Central America,161.40199649166667,1.281227495
2020,Belarus,528.0,55619.0,4.0,470.0,Ukraine +,5381.161288583334,-0.479446185
2021,Belarus,1384.0,433301.0,11.0,3257.0,Ukraine +,5480.5642957499995,2.941755802
2020,Belgium,1781.0,150927.0,54.0,8175.0,OECD_Europe,8703.187260166667,-6.132229512
2021,Belgium,4014.0,1130450.0,24.0,24690.0,OECD_Europe,9158.114936083331,5.844594821
2020,Belize,29.0,1528.0,1.0,30.0,Rest Central America,195.69202428333332,-18.27224871
2021,Belize,59.0,17044.0,1.0,375.0,Rest Central America,206.7276756916667,7.776107386
2021,Benin,60.0,12715.0,0.0,112.0,Western_Africa,1584.88736975,3.79324564
2020,Benin,9.0,1265.0,0.0,21.0,Western_Africa,1535.6805381666666,1.090098527
2020,Bermuda,2.0,140.0,0.0,6.0,Rest Central America,61.922205463333334,-6.827216855
2021,Bermuda,16.0,2945.0,0.0,44.0,Rest Central America,68.86648478083332,1.894053811
2021,Bosnia and Herzegovina,492.0,201419.0,26.0,8915.0,Central Europe,1742.048614333333,7.671838897
2020,Bosnia and Herzegovina,305.0,21822.0,11.0,678.0,Central Europe,2345.3734950000003,-2.523297319
2021,Botswana,568.0,102460.0,7.0,1349.0,Southern_Africa,769.9540987333334,9.245084842
2020,Botswana,40.0,2550.0,0.0,9.0,Southern_Africa,743.9928303000002,-10.58640629
2021,Brazil,40275.0,16920294.0,1167.0,461925.0,Brazil,105974.186115,3.918336589
2020,Brazil,20779.0,2405664.0,529.0,73308.0,Brazil,101592.62775583332,-4.561462507
2021,Brunei Darussalam,42.0,3933.0,0.0,19.0,Southeastern Asia,601.1086646416667,-2.507856074
2020,Brunei Darussalam,0.0,113.0,0.0,2.0,Southeastern Asia,600.5641541166668,0.165658547
2020,Bulgaria,553.0,29931.0,21.0,935.0,Central Europe,3897.499420666667,-3.811515942
2021,Bulgaria,1488.0,433904.0,64.0,17895.0,Central Europe,4444.244345166667,4.704718077
2021,Burkina Faso,30.0,13407.0,1.0,178.0,Western_Africa,2462.3531279999997,3.953244476
2020,Burkina Faso,18.0,1338.0,0.0,42.0,Western_Africa,2441.6860899999997,-0.907160523
2020,Burundi,2.0,272.0,0.0,1.0,Eastern_Africa,843.1484539249999,-2.712024741
2021,Burundi,81.0,9500.0,0.0,8.0,Eastern_Africa,849.6314755666666,-1.233517072
2020,Cambodia,1.0,173.0,0.0,0.0,Southeastern Asia,4249.840683166667,-4.443176856
2021,Cambodia,329.0,56772.0,8.0,1154.0,Southeastern Asia,4278.020446333333,1.643448779
2021,Cameroon,227.0,74637.0,4.0,1205.0,Western_Africa,3142.2034561666665,0.90782954
2020,Cameroon,74.0,11687.0,1.0,246.0,Western_Africa,3110.3418998333327,-2.042454665
2021,Canada,4211.0,1331221.0,40.0,25076.0,Canada,62703.94445666666,3.991761062
2020,Canada,1554.0,127940.0,42.0,6328.0,Canada,61212.17042916667,-6.31922237
2020,Central African Republic,16.0,3063.0,0.0,32.0,Western_Africa,304.19559898333335,-0.867089762
2021,Central African Republic,18.0,9708.0,0.0,89.0,Western_Africa,305.6452398416667,-0.950309903
2020,Chad,6.0,759.0,0.0,55.0,Western_Africa,1353.4280892500003,-4.46934426
2021,Chad,10.0,4676.0,0.0,163.0,Western_Africa,1360.8791386666664,-4.056963406
2020,Chile,1665.0,250170.0,45.0,6563.0,Rest South America,10400.181838000002,-6.785702733
2021,Chile,3284.0,1356745.0,62.0,30386.0,Rest South America,10589.573162833332,11.10935355
2020,China,266.0,78448.0,13.0,3890.0,China +,1046298.8140916667,1.996619014
